name,addr:city,addr:street,website,opening_hours,fhrs:rating,@lat,@lon,@user
,,,,,,51.5127967,-0.1237927,Paul The Archivist
,,,,,,51.5127744,-0.1239873,Paul The Archivist
,,,,,,51.5128201,-0.123772,tklug
,,,,,,51.5128521,-0.1238098,tklug
,,,,,,51.5130136,-0.1236715,Derick Rethans
,,,,,,51.5130241,-0.1236504,Derick Rethans
,,,,,,51.5138891,-0.1268687,Paul The Archivist
,,,,,,51.5139106,-0.1269093,Paul The Archivist
,,,,,,51.5139388,-0.1267687,Harry Wood
,,,,,,51.5139869,-0.1268304,Harry Wood
,,,,,,51.5139912,-0.1268997,Paul The Archivist
,,,,,,51.5118241,-0.1280529,Derick Rethans
,,,,,,51.511935,-0.1273647,Paul The Archivist
,,,,,,51.5119393,-0.1272226,Paul The Archivist
,,,,,,51.5119557,-0.1271935,Paul The Archivist
,,,,,,51.5120364,-0.1273266,Paul The Archivist
,,,,,,51.5120364,-0.1273769,Paul The Archivist
,,,,,,51.5120672,-0.1273287,Paul The Archivist
,,,,,,51.5120684,-0.1272976,Paul The Archivist
,,,,,,51.5120906,-0.1272984,Paul The Archivist
,,,,,,51.5120935,-0.1272014,Paul The Archivist
,,,,,,51.5107866,-0.1287487,Paul The Archivist
,,,,,,51.5107921,-0.1286688,Paul The Archivist
,,,,,,51.5108256,-0.1285035,Mikhail1412
,,,,,,51.5108863,-0.12862,Mikhail1412
,,,,,,51.5109034,-0.1287313,Mikhail1412
Comptons of Soho,London,Old Compton Street,http://www.faucetinn.com/comptons/,,,51.5126049,-0.1325151,RulesForEverybody
,,,,,,51.5112623,-0.1256049,Derick Rethans
,,,,,,51.5112692,-0.1256042,Derick Rethans
,,,,,,51.5113033,-0.1256006,Derick Rethans
,,,,,,51.5113057,-0.1417571,Mikhail1412
,,,,,,51.5114002,-0.1418527,Mikhail1412
,,,,,,51.5134204,-0.1381503,Paul The Archivist
,,,,,,51.5134997,-0.1382251,Paul The Archivist
,,,,,,51.5108856,-0.1272292,Derick Rethans
,,,,,,51.5109008,-0.1272306,Derick Rethans
,,,,,,51.5158316,-0.1429623,Mikhail1412
,,,,,,51.5158354,-0.1429755,Paul The Archivist
,,,,,,51.5158548,-0.1428289,Mikhail1412
,,,,,,51.5159649,-0.142872,Mikhail1412
,,,,,,51.5160281,-0.1429702,Paul The Archivist
,,,,,,51.516053,-0.1434481,Paul The Archivist
,,,,,,51.5161333,-0.1437663,Paul The Archivist
,,,,,,51.5109911,-0.1269208,Derick Rethans
,,,,,,51.5110036,-0.1269098,Derick Rethans
,,,,,,51.5117762,-0.1282257,Derick Rethans
,,,,,,51.5133182,-0.1271786,Paul The Archivist
,,,,,,51.5133379,-0.127248,Paul The Archivist
,,,,,,51.5133362,-0.1273018,Paul The Archivist
,,,,,,51.5133961,-0.1273754,Paul The Archivist
,,,,,,51.5133554,-0.1272954,Paul The Archivist
,,,,,,51.5133877,-0.1272713,Paul The Archivist
,,,,,,51.5112674,-0.1344093,Mikhail1412
,,,,,,51.5113036,-0.1342875,Mikhail1412
,,,,,,51.511312,-0.1344449,Mikhail1412
,,,,,,51.5113498,-0.1343233,Mikhail1412
,,,,,,51.5139508,-0.1390918,Paul The Archivist
,,,,,,51.5139764,-0.1390116,Paul The Archivist
,,,,,,51.5139959,-0.1391286,Paul The Archivist
,,,,,,51.5140028,-0.1391342,Paul The Archivist
,,,,,,51.5140205,-0.1391487,Paul The Archivist
,,,,,,51.5140446,-0.1391684,Paul The Archivist
,,,,,,51.5140455,-0.1392031,Paul The Archivist
,,,,,,51.5142168,-0.1391849,Paul The Archivist
,,,,,,51.5133177,-0.1386395,Paul The Archivist
,,,,,,51.5133384,-0.1386594,Paul The Archivist
,,,,,,51.5133452,-0.1386395,Paul The Archivist
,,,,,,51.5133642,-0.1385224,Paul The Archivist
,,,,,,51.5133687,-0.1386918,Paul The Archivist
,,,,,,51.5133771,-0.1386693,Paul The Archivist
,,,,,,51.5134198,-0.1387432,Paul The Archivist
,,,,,,51.5134674,-0.1386215,Paul The Archivist
,,,,,,51.5133383,-0.1385875,Paul The Archivist
,,,,,,51.5133789,-0.1382644,Paul The Archivist
,,,,,,51.5134585,-0.1383374,Paul The Archivist
,,,,,,51.5134648,-0.1383209,Paul The Archivist
,,,,,,51.5134523,-0.1402595,Paul The Archivist
,,,,,,51.5135134,-0.140347,Paul The Archivist
,,,,,,51.5135371,-0.1403447,Paul The Archivist
,,,,,,51.5135378,-0.1400871,Paul The Archivist
,,,,,,51.5136068,-0.1401789,Paul The Archivist
,,,,,,51.5136203,-0.1395703,Mikhail1412
,,,,,,51.5136426,-0.1395904,Mikhail1412
,,,,,,51.5136812,-0.1394517,Mikhail1412
,,,,,,51.5136935,-0.1396362,Mikhail1412
,,,,,,51.5137523,-0.139502,Mikhail1412
,,,,,,51.5133377,-0.1387379,Paul The Archivist
,,,,,,51.5133593,-0.1386785,Paul The Archivist
,,,,,,51.5133978,-0.1388004,Paul The Archivist
,,,,,,51.5128914,-0.1393429,Mikhail1412
,,,,,,51.5129,-0.1395306,Paul The Archivist
,,,,,,51.5129531,-0.1394221,Paul The Archivist
,,,,,,51.5125246,-0.1373484,Mikhail1412
,,,,,,51.5125856,-0.1374216,Mikhail1412
,,,,,,51.5126194,-0.1373372,Paul The Archivist
,,,,,,51.512639,-0.1374839,Paul The Archivist
,,,,,,51.5126759,-0.1373944,Paul The Archivist
,,,,,,51.513259,-0.1365051,Paul The Archivist
,,,,,,51.5132957,-0.136682,Paul The Archivist
,,,,,,51.5135666,-0.1366401,Paul The Archivist
,,,,,,51.5135778,-0.1366011,Paul The Archivist
,,,,,,51.513605,-0.1365096,Paul The Archivist
,,,,,,51.5136227,-0.1364481,Paul The Archivist
,,,,,,51.5136288,-0.1366872,Paul The Archivist
,,,,,,51.5136865,-0.1364884,Paul The Archivist
,,,,,,51.5126226,-0.1365919,Paul The Archivist
,,,,,,51.5148819,-0.1353102,Paul The Archivist
,,,,,,51.5149342,-0.1351822,Paul The Archivist
,,,,,,51.5149396,-0.1353549,Paul The Archivist
,,,,,,51.5149797,-0.1352191,Paul The Archivist
,,,,,,51.5160905,-0.1241589,Paul The Archivist
,,,,,,51.5161555,-0.1240528,Paul The Archivist
,,,,,,51.5162313,-0.124021,Paul The Archivist
,,,,,,51.5162364,-0.123921,Paul The Archivist
,,,,,,51.5162408,-0.124036,Paul The Archivist
,,,,,,51.5162649,-0.1239661,Paul The Archivist
,,,,,,51.5140621,-0.1299237,BCNorwich
,,,,,,51.5140675,-0.1298457,BCNorwich
,,,,,,51.5140751,-0.1299236,BCNorwich
,,,,,,51.5140859,-0.1298506,BCNorwich
,,,,,,51.5145997,-0.130908,Mikhail1412
,,,,,,51.5145988,-0.1311342,Mikhail1412
,,,,,,51.514649,-0.1309281,Nakaner-repair
,,,,,,51.5146209,-0.1311451,Mikhail1412
,,,,,,51.513863,-0.1306204,Mikhail1412
,,,,,,51.5138767,-0.1303721,Mikhail1412
,,,,,,51.513884,-0.1306369,Mikhail1412
,,,,,,51.5138638,-0.1303616,Mikhail1412
,,,,,,51.5139453,-0.1304122,Mikhail1412
,,,,,,51.5139251,-0.1304046,Mikhail1412
,,,,,,51.513979,-0.1297739,Mikhail1412
,,,,,,51.5140318,-0.1297994,Mikhail1412
,,,,,,51.5139883,-0.130365,Mikhail1412
,,,,,,51.5132114,-0.1301468,Paul The Archivist
,,,,,,51.513217,-0.1301774,Derick Rethans
,,,,,,51.5132616,-0.1300126,Paul The Archivist
,,,,,,51.5132479,-0.1302036,Derick Rethans
,,,,,,51.5132863,-0.1300861,Paul The Archivist
,,,,,,51.5133882,-0.1299178,Derick Rethans
,,,,,,51.5133894,-0.1299717,Derick Rethans
,,,,,,51.5140061,-0.1318449,Mikhail1412
,,,,,,51.5137995,-0.1324913,Mikhail1412
,,,,,,51.5138367,-0.1323243,BCNorwich
,,,,,,51.5138729,-0.1325383,Mikhail1412
,,,,,,51.5127186,-0.1316448,Paul The Archivist
,,,,,,51.5127604,-0.1317827,Paul The Archivist
,,,,,,51.512788,-0.1317014,Paul The Archivist
,,,,,,51.5147948,-0.1334404,Mikhail1412
,,,,,,51.5148132,-0.1333625,Mikhail1412
,,,,,,51.5148152,-0.1334528,Mikhail1412
,,,,,,51.5148916,-0.1335001,Mikhail1412
,,,,,,51.5150973,-0.1330721,Mikhail1412
,,,,,,51.5151589,-0.1331142,Mikhail1412
,,,,,,51.5151372,-0.1331979,Mikhail1412
,,,,,,51.5151583,-0.1331489,Mikhail1412
,,,,,,51.5151666,-0.1331191,Mikhail1412
,,,,,,51.5139825,-0.1319968,Mikhail1412
,,,,,,51.5108124,-0.1320726,Mikhail1412
,,,,,,51.5109287,-0.1320856,Mikhail1412
,,,,,,51.508807,-0.1413109,Paul The Archivist
,,,,,,51.5088135,-0.1411902,Paul The Archivist
,,,,,,51.5088155,-0.1412899,Paul The Archivist
,,,,,,51.5088589,-0.1413352,Paul The Archivist
,,,,,,51.5088866,-0.1412663,Paul The Archivist
,,,,,,51.5105537,-0.1369206,Paul The Archivist
,,,,,,51.5106496,-0.1369704,Paul The Archivist
,,,,,,51.5106777,-0.1370121,Paul The Archivist
Blue Plaque: Dr John Snow,,,,,,51.5133129,-0.1366311,doublah
,,,,,,51.5134583,-0.1286182,Paul The Archivist
,,,,,,51.5134172,-0.1287432,Paul The Archivist
,,,,,,51.5133812,-0.1287448,Paul The Archivist
,,,,,,51.5134089,-0.1285994,Paul The Archivist
,,,,,,51.5134495,-0.1286923,Paul The Archivist
,,,,,,51.5133223,-0.1272638,Paul The Archivist
,,,,,,51.5133639,-0.1273921,Paul The Archivist
,,,,,,51.5138995,-0.1268934,Paul The Archivist
,,,,,,51.5139713,-0.126902,Paul The Archivist
,,,,,,51.513983,-0.1269006,Paul The Archivist
,,,,,,51.5132534,-0.1300347,Paul The Archivist
,,,,,,51.5133036,-0.1300987,Paul The Archivist
,,,,,,51.513317,-0.1300543,Paul The Archivist
,,,,,,51.5132384,-0.1301955,Paul The Archivist
,,,,,,51.5124815,-0.1315686,Paul The Archivist
,,,,,,51.5125268,-0.1314395,Mikhail1412
,,,,,,51.5125613,-0.1316089,Paul The Archivist
,,,,,,51.5125979,-0.1315045,Mikhail1412
,,,,,,51.515278,-0.1231927,Paul The Archivist
,,,,,,51.5134017,-0.1287439,Derick Rethans
The Three Greyhounds,,,,,,51.5134435,-0.1303052,Martin Constantino–Bodin
